barcode,desc,acost,adate,cat_type,locname,dept,status
FAD-0004-0000604500001   ,PRINTER EPSON LQ310 W/ USB PRINTER CABLE                    ,14281.25000,04/06/2026,PRINTER                                           ,COLONNADE COLON               ,COLC-ACCOUNTING DEPT.                             ,FAACQ               
FAD-0004-0008897300001   ,EPSON L5290 WIFI AIO (INK TANK) PRINTER W/ADF               ,12049.11000,04/06/2026,PRINTER                                           ,COLONNADE COLON               ,COLC-ACCOUNTING DEPT.                             ,FAACQ               
FAD-0004-0010097600001   ,ZYCOO COOFONE H81P(EOL)                                     ,3225       ,03/17/2026,TELEPHONE                                         ,COLONNADE COLON               ,COLC-SECURITY & SAFETY DEPARTMENT                 ,FAACQ               
FAD-0004-0003207700001   ,PRINTER EPSON LQ-310                                        ,14281.25000,05/15/2026,PRINTER                                           ,COLONNADE COLON               ,COLC-PURCHASING DEPT.                             ,FAACQ               
FAD-0004-0010097600002   ,ZYCOO COOFONE H81P(EOL)                                     ,3225       ,05/04/2026,TELEPHONE                                         ,COLONNADE COLON               ,COLC-INTERNAL AUDIT DEPT.                         ,FAACQ               
FAD-0004-0000657400001   ,MONITOR ACER                                                ,3214.29000 ,05/04/2026,MONITOR                                           ,COLONNADE COLON               ,COLC-RECEIVING                                    ,FAACQ               
FAD-0004-0003304400001   ,PRINTER EPSON LQ310 USB/PARALLEL                            ,14281.25000,05/04/2026,PRINTER                                           ,COLONNADE COLON               ,COLC-RECEIVING                                    ,FAACQ               
FAD-0004-0011554500001   ,ASUS PRIME H610M-R (P.S) D4 MOTHERBOARD                     ,30352.68000,05/04/2026,OTHERS                                            ,COLONNADE COLON               ,COLC-RECEIVING                                    ,FAACQ               
FAD-0004-0003304400002   ,PRINTER EPSON LQ310 USB/PARALLEL                            ,14281.25000,05/04/2026,PRINTER                                           ,COLONNADE COLON               ,COLC-FIXED ASSET DEPARTMENT                       ,FAACQ               
FAD-0004-0000657400002   ,MONITOR ACER                                                ,3149.11000 ,05/04/2026,MONITOR                                           ,COLONNADE COLON               ,COLC-ACCOUNTING DEPT.                             ,FAACQ               
FAD-0004-0003207700002   ,PRINTER EPSON LQ-310                                        ,14281.25000,05/04/2026,PRINTER                                           ,COLONNADE COLON               ,COLC-ACCOUNTING DEPT.                             ,FAACQ               
FAD-0004-0012730400001   ,INTEL CORE I5 12400 2.5GHZ(H610M-R D4)                      ,28557.14000,05/04/2026,COMPUTER                                          ,COLONNADE COLON               ,COLC-ACCOUNTING DEPT.                             ,FAACQ               
FAD-0004-0003207700003   ,PRINTER EPSON LQ-310                                        ,14281.25000,05/04/2026,PRINTER                                           ,COLONNADE COLON               ,COLC-SEACOM WAREHOUSE                             ,FAACQ               
FAD-0004-0000657400003   ,MONITOR ACER                                                ,3149.11000 ,05/04/2026,MONITOR                                           ,COLONNADE COLON               ,COLC-GROCERY                                      ,FAACQ               
FAD-0004-0012730400002   ,INTEL CORE I5 12400 2.5GHZ(H610M-R D4)                      ,28557.14000,05/04/2026,COMPUTER                                          ,COLONNADE COLON               ,COLC-GROCERY                                      ,FAACQ               
FAD-0004-0012730400003   ,INTEL CORE I5 12400 2.5GHZ(H610M-R D4)                      ,28557.14000,05/04/2026,COMPUTER                                          ,COLONNADE COLON               ,COLC-GROCERY                                      ,FAACQ               
FAD-0004-0012730400004   ,INTEL CORE I5 12400 2.5GHZ(H610M-R D4)                      ,28557.14000,05/04/2026,COMPUTER                                          ,COLONNADE COLON               ,COLC-GROCERY                                      ,FAACQ               
FAD-0004-0001977100001   ,HANDHELD SCANNER                                            ,3883.93000 ,05/04/2026,SCANNER                                           ,COLONNADE COLON               ,COLC-RECEIVING                                    ,FAACQ               
FAD-0004-0012651000001   ,DEWALT DCD 100 BRUSHLESS HAMMER DRILL                       ,14285.71000,05/04/2026,DRILL                                             ,COLONNADE COLON               ,COLC-ENGINEERING DEPT.                            ,FAACQ               
FAD-0004-0007434000001   ,2.0 MM2 THHN WIRE (GREEN)                                   ,3162.25000 ,05/04/2026,IMPROVEMENTS                                      ,COLONNADE COLON               ,COLC-BAKESHOP                                     ,FAACQ               
